,word,y1,y2
1286,clinton,,
1287,pick,,
1288,anchor,,
1289,wallac,,
1290,father,['authority.virtue'],['authority.virtue']
1291,twice,,
1292,protect,['care.virtue'],['care.virtue']
1293,mayor,,
1294,ukrain,,
1295,unless,,
1296,prosecutor,,
1297,guy,,
1298,choke,,
1299,dog,,
1300,stay,,
1301,span,,
1302,trumper,,
1303,poll,,
1304,sad,,
1305,joke,,
1306,turn,,
1307,crook,,
1308,obama,,
1309,interest,,
1310,comput,,
1311,screen,,
1312,bail,,
1313,hanniti,,
1314,rush,,
1315,jess,,
1316,pete,,
1317,tucker,,
1318,disgrac,,
1319,find,,
1320,mind,,
1321,martha,,
1322,raddatz,,
1323,hatr,,
1324,easili,,
1325,feed,,
1326,kamala,,
1327,beyond,,
1328,legitim,,
1329,calm,,
1330,combin,,
1331,frack,,
1332,etc,,
1333,soon,,
1334,super,,
1335,aoc,,
1336,knowledg,,
1337,process,,
1338,filibust,,
1339,mitch,,
1340,schumer,,
1341,option,,
1342,reid,,
1343,finish,,
1344,term,,
1345,non,,
1346,beto,,
1347,expos,,
1348,ted,,
1349,cruz,,
1350,wors,,
1351,nice,,
1352,notic,,
1353,virginia,,
1354,execut,,
1355,babi,,
1356,abort,,
1357,born,,
1358,mess,,
1359,evil,['moral'],['moral']
1360,rare,,
1361,discuss,,
1362,maniac,,
1363,cop,,
1364,suburb,,
1365,fall,,
1366,unsaf,,
1367,citi,,
1368,suburban,,
1369,cours,,
1370,condemn,,
1371,antifa,,
1372,burn,,
1373,whatsoev,,
1374,hell,,
1375,philosophi,,
1376,whitmer,,
1377,complain,,
1378,depart,,
1379,arrest,,
1380,instead,,
1381,polit,,
1382,act,,
1383,although,,
1384,michigan,,
1385,horribl,,
1386,church,['sanctity.virtue'],['sanctity.virtue']
1387,hurt,['care.vice'],['care.vice']
1388,drink,,
1389,suicid,,
1390,rais,,
1391,sadli,,
1392,child,,
1393,percentag,,
1394,cure,,
1395,view,,
1396,ks,,
1397,environ,,
1398,rebuild,,
1399,window,,
1400,crazi,,
1401,ninth,,
1402,blackout,,
1403,ration,,
1404,set,,
1405,gallon,,
1406,sea,,
1407,pacif,,
1408,fish,,
1409,honest,"['fairness.virtue', 'moral']","['fairness.virtue', 'moral']"
1410,fire,,
1411,newsom,,
1412,disagre,,
1413,accept,,
1414,throw,,
1415,forest,,
1416,send,,
1417,separ,,
1418,tree,,
1419,lay,,
1420,stone,,
1421,dead,,
1422,dri,,
1423,butt,,
1424,leav,,
1425,lose,,
1426,acr,,
1427,absente,,
1428,fine,,
1429,request,,
1430,fill,,
1431,unsolicit,,
1432,thrown,,
1433,garbag,,
1434,tray,,
1435,river,,
1436,attorney,,
1437,sheriff,,
1438,marshal,,
1439,mostli,,
1440,fashion,,
1441,booth,,
1442,fraudul,,
1443,harvest,,
1444,despit,,
1445,victori,,
1446,cnn,,
1447,abc,,
1448,street,,
1449,journal,,
1450,nbc,,
1451,nearli,,
1452,hard,,
1453,ohio,,
1454,iowa,,
1455,gee,,
1456,caught,,
1457,spi,['loyalty.vice'],['loyalty.vice']
1458,treason,"['loyalty.vice', 'authority.vice']","['loyalty.vice', 'authority.vice']"
1459,duli,,
1460,evid,,
1461,transit,,
1462,half,,
1463,morn,,
1464,longer,,
1465,worth,['moral'],['moral']
1466,thrive,,
1467,seek,,
1468,complet,,
1469,simpl,,
1470,solv,,
1471,violent,,
1472,protest,['authority.vice'],['authority.vice']
1473,dismantl,,
1474,institut,,
1475,impeach,,
1476,undo,,
1477,small,,
1478,loan,,
1479,ransom,,
1480,wishlist,,
1481,broke,,
1482,fed,,
1483,politician,,
1484,empti,,
1485,rhetor,,
1486,object,,
1487,coronaviru,,
1488,healthi,,
1489,add,,
1490,distress,,
1491,ignor,,
1492,threat,,
1493,chain,,
1494,resili,,
1495,attend,,
1496,worker,,
1497,skill,,
1498,industri,,
1499,enthusiasm,,
1500,contrast,,
1501,colleagu,,
1502,sacrific,,
1503,fellow,['loyalty.virtue'],['loyalty.virtue']
1504,citizen,,
1505,match,,
1506,dedic,,
1507,urg,,
1508,commitmenttoamerica,,
1509,com,,
1510,reunit,,
1511,introduc,,
1512,whip,,
1513,steve,,
1514,scalis,,
1515,regardless,,
1516,parti,,
1517,gender,,
